dataset,publishTime,startTime,generation
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T17:00:00Z,12104
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T18:00:00Z,12468
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T19:00:00Z,12623
WINDFOR,2022-05-07T08:30:00Z,2022-05-09T20:00:00Z,12705
WINDFOR,2022-05-07T05:30:00Z,2022-05-07T20:00:00Z,2865
WINDFOR,2022-05-07T05:30:00Z,2022-05-07T21:00:00Z,2865
WINDFOR,2022-05-07T05:30:00Z,2022-05-07T22:00:00Z,2920
WINDFOR,2022-05-07T05:30:00Z,2022-05-07T23:00:00Z,2998
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T00:00:00Z,3209
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T01:00:00Z,3437
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T02:00:00Z,3511
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T03:00:00Z,3470
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T04:00:00Z,3385
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T05:00:00Z,3427
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T06:00:00Z,3324
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T07:00:00Z,3203
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T08:00:00Z,3145
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T09:00:00Z,3149
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T10:00:00Z,3134
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T11:00:00Z,3244
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T12:00:00Z,3406
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T13:00:00Z,3563
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T14:00:00Z,3709
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T15:00:00Z,3941
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T16:00:00Z,3736
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T17:00:00Z,3665
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T18:00:00Z,3604
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T19:00:00Z,3722
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T20:00:00Z,3889
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T21:00:00Z,4105
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T22:00:00Z,4417
WINDFOR,2022-05-07T05:30:00Z,2022-05-08T23:00:00Z,4759
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T00:00:00Z,5123
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T01:00:00Z,5416
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T02:00:00Z,5738
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T03:00:00Z,6086
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T04:00:00Z,6402
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T05:00:00Z,6731
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T06:00:00Z,7066
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T07:00:00Z,7354
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T08:00:00Z,7635
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T09:00:00Z,7906
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T10:00:00Z,8234
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T11:00:00Z,8569
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T12:00:00Z,8912
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T13:00:00Z,9347
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T14:00:00Z,9860
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T15:00:00Z,10436
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T16:00:00Z,11171
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T17:00:00Z,11862
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T18:00:00Z,12444
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T19:00:00Z,12609
WINDFOR,2022-05-07T05:30:00Z,2022-05-09T20:00:00Z,12692
WINDFOR,2022-05-07T03:30:00Z,2022-05-07T20:00:00Z,2865
WINDFOR,2022-05-07T03:30:00Z,2022-05-07T21:00:00Z,2865
WINDFOR,2022-05-07T03:30:00Z,2022-05-07T22:00:00Z,2920
WINDFOR,2022-05-07T03:30:00Z,2022-05-07T23:00:00Z,2998
WINDFOR,2022-05-07T03:30:00Z,2022-05-08T00:00:00Z,3209
