dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,INTIRL,82
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,INTNED,-950
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,INTNEM,-1020
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,INTNSL,98
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,NPSHYD,410
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,NUCLEAR,5293
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,OCGT,98
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,OIL,0
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,OTHER,747
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,PS,1524
FUELHH,2022-05-07T19:00:00Z,2022-05-07T18:30:00Z,2022-05-07,40,WIND,2165
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,BIOMASS,831
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,CCGT,19214
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,COAL,0
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,INTELEC,0
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,INTEW,0
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,INTFR,-492
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,INTIFA2,-936
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,INTIRL,110
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,INTNED,-952
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,INTNEM,-1020
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,INTNSL,92
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,NPSHYD,411
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,NUCLEAR,5287
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,OCGT,98
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,OIL,0
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,OTHER,689
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,PS,1748
FUELHH,2022-05-07T18:30:00Z,2022-05-07T18:00:00Z,2022-05-07,39,WIND,2146
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,BIOMASS,831
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,CCGT,19119
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,COAL,0
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,INTELEC,0
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,INTEW,0
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,INTFR,-816
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,INTIFA2,-622
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,INTIRL,30
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,INTNED,-1052
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,INTNEM,-1020
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,INTNSL,-2
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,NPSHYD,424
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,NUCLEAR,5288
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,OCGT,98
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,OIL,0
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,OTHER,668
FUELHH,2022-05-07T18:00:00Z,2022-05-07T17:30:00Z,2022-05-07,38,PS,1702
